CustomerID,Frequency
001cb583-e55a-49a0-bb4d-7cab22fb84b1,1
001d4e22-7930-4229-91b3-78ba67d17933,1
006828ab-2d8d-4b45-bb64-1f325a920a03,1
006d4e27-0352-4b58-bc32-8fc1b94d26e7,1
00961950-0989-4fb4-9122-8777c65249d7,1
00ae0be3-210d-476c-ab25-3bb95ece2158,1
00bb2077-3958-4ae1-bb98-a2bd99124c73,1
00c5a650-04b8-4ab4-822e-9671dad2ad75,1
00e307ad-d30b-4842-a62a-14e4bb894c1d,1
00fc3a7d-059d-4ce4-88f2-61c441abf832,1
01044518-8b80-4949-b81f-5002211cd1ae,1
0115f85b-9114-4391-b505-ea6adf1ec8d2,1
01170dfd-ab47-4700-8c22-fc748c950f27,1
012509e2-dcbf-4c9e-bf86-e919da0cdba5,1
012b41a6-2296-4026-b1d4-28a0adfe4b8f,1
013130ae-667a-405c-b034-330a3f30d523,1
013b26f6-6159-4930-bd7b-4b69aef98b2d,1
014a675b-7243-4eb7-b65c-4dbc5ba4f1de,1
01557785-3da8-4ad5-b649-8ff8a3590447,1
015e7ebe-feec-43cf-ad48-0b82edb8b5f1,1
01740b01-9554-48b2-9d71-93c18576a805,1
017817a4-a1e9-436b-b941-6c53380ecc8e,1
018e9477-85c3-4b0f-8ad8-1457319066a9,1
01ac73a8-db3c-4b3a-9583-e16ab9045070,1
01e9de10-6b79-4c06-9e33-d84032129504,1
021d4a79-ad7f-4b09-a99d-cc456c473503,1
0225e750-76f2-4d0f-a7a0-79f17f167831,1
02279aa8-2bd8-40ed-ad34-6fb377960e5e,1
02344c13-8ffc-460d-acd1-cb49e71db598,1
023d48c5-40e2-4c07-a4bf-ed064d38866e,1
0249f413-6940-46e0-bcc6-745aa41b4157,1
0251fce4-6a5a-4611-93e3-b88b241e6337,1
0255c62f-fa54-4d26-a6fa-122c72f07aac,1
02726a2b-c417-44d6-9f37-e37e49e29685,1
027b0f7f-fabf-41c7-8376-d4c02b733f4f,1
02825857-25ac-4fa6-9823-758b24cfdd72,1
