CustomerID,Recency,Frequency,Monetary
9a66bec2-57cf-4fb1-9fe6-79bae4fb4612,288,25,484.11
ef0d40d1-8e2d-4c64-b807-c982ce8865ac,231,33,271.49
9de2b87c-6554-4050-9456-9f56a923149d,324,49,892.61
4095a429-b32a-4eba-ba3d-3fa22591c0a0,351,46,130.79
18a218aa-3d30-4cf1-bc4a-890dcbb446d9,157,44,37.73
bab50ab5-a4a4-465c-871c-b57982f77ef0,95,2,161.03
affb9ba3-c354-49d6-9818-0514e126c339,230,3,180.37
c64bfe74-e749-4914-8ddd-2ade31f18a35,323,28,547.28
c2a17c06-ef82-4c56-9c93-6c7c3743695d,277,37,632.37
82567230-b8d1-4e3c-b5dd-eb85dc2cd2c5,314,35,459.64
071dfe1a-69f2-4dfb-91d8-6110fe07e990,263,14,220.09
544c2e5b-8c25-4cb8-8d6d-1249f9b66667,36,24,149.55
326d41ed-3e09-428a-a90c-811593de922f,98,37,502.31
4c13d383-8e0b-43b3-a663-ce28477bc28c,228,3,574.17
ff837f89-f6e9-4016-a503-2772dd52bd8a,311,23,317.88
7425499f-51a0-4bec-80af-7c35d996d0c4,188,34,236.03
7ed093b3-10f1-4f47-99bc-a8495ebe579a,85,9,98.98
2704b244-84db-4d46-977b-376761885eab,64,18,45.72
83e3ec44-248b-4ccb-bd76-187eac32f4e6,102,2,123.62
880e708c-3dc0-4057-bb82-f0022d9e991e,111,22,747.24
b5868cc5-b0c1-4f37-8e6f-7841050ebb1f,352,35,357.14
5e9bd572-13d6-42db-b85e-d622ec70cbf6,67,31,46.87
1353ba3e-81c5-4527-9eb6-56aa035ec4fa,136,26,518.0
459d801f-d48b-4cd8-b827-f890a80cd7e1,135,14,545.35
0d842aaf-8f30-41b2-9693-c368d446121e,313,45,440.12
fd2d7777-75e2-4dca-8713-bf17ee9cf75a,213,48,128.47
fa6745eb-53a8-4090-b8cf-84364e05b344,361,28,759.87
b4037753-a56a-4d7f-ba19-a2884c258289,240,11,695.3
7b991855-ffba-4992-8326-e85441a3bba8,309,32,406.83
6d1d0d21-2375-49a3-a6e4-253e62c0b7c2,84,21,393.2
b5bf0c0e-9051-42af-afb6-d8249fc379ff,47,23,172.82
b838daa3-8abf-4802-b6f7-f83de8493403,360,24,758.48
58bfa92e-2e18-4c81-88af-c201d502ff96,155,12,607.58
164205e2-c849-4786-86b9-4f69783040f9,100,3,104.08
034848fc-d7a5-4f06-9d3d-e5885dbf3db3,80,6,390.5
80601c00-54cb-4c6c-acf7-afd1aafc670b,127,48,905.49
3d2e3db3-47bb-4df0-a6f1-3f8e954d154b,158,12,463.33
3e277931-c79b-4101-8b6a-b6c6606b3bfa,236,20,338.43
5850fa30-ff27-418f-b1c0-50881b444ae0,58,6,650.91
6c5a0ccb-ed7b-4ddb-b933-6aa29d01525f,236,20,218.91
b7247202-fc84-4a6c-ba07-e466fc1c6a4a,337,14,533.33
e78a0ae0-0356-4ed1-a198-efae2d5ed559,288,41,676.13
f564cfd9-c49d-465b-bf8c-5966a09cf717,308,49,857.78
6785d9aa-b3a9-4a6d-b7ca-a493c1755c4a,94,44,698.65
fedf9d0f-c34a-4f15-83bf-a9a5aa6771ac,121,1,396.72
a009c44f-5b55-48ed-bd4a-b4978b408c8f,346,20,772.44
b34d59f5-97b5-481a-801b-f602bf3c4bdd,120,22,900.43
6c46f228-4b74-4eb9-9af2-673c21e78bb6,35,40,488.21
19c814ff-d903-4e94-aa9d-d567b05e4ea5,212,31,24.41
03aa7a54-93c4-4b07-a426-0c7c9d568fe8,225,31,883.3
2bf1e491-3ca9-4f30-be9f-04b83d4936b6,289,28,182.13
c12d1ca7-dc04-4ee5-a584-226b986fef98,60,12,143.8
f4a444e7-c752-4335-a128-1e51848b83ae,187,16,321.52
b03610eb-b74f-447f-95ac-5fcf93cdf974,239,33,392.38
19186fe7-a6ea-4f4b-bcc6-32af092344cb,2,35,803.39
a40f26cd-1b21-46d2-b4a2-63308cc4d986,5,44,401.4
1f5f8539-54ae-4e29-9980-a3aff2161605,259,4,67.84
831a39ce-0189-4736-9ed7-89d3cdeaf7de,100,10,643.24
18d60729-e5e2-4a55-bf00-578b8db3a05d,308,34,677.8
e1d4be74-4b87-4567-bafb-20b93e9d865e,358,41,817.94
f9781a80-eb1b-429c-bcbd-c90b2f2eb594,326,3,410.89
89760948-fc94-4ae9-811a-e42238580e20,165,31,104.35
4d92e1f8-1f2c-4eb0-8606-4abb23d61911,163,31,562.0
aa504c36-b39c-40a3-a6f5-2e08f7934e16,289,1,138.58
f132446b-4443-41ee-b691-0115704fd2f6,5,5,36.73
535c3548-7114-403c-8749-6f500c52b1ac,26,5,783.01
3702188f-ef84-46ff-8d9a-70ad18cd280c,38,2,415.34
4415c741-5236-4328-af44-137ac6178b5c,306,15,534.51
49c132b7-d672-406f-9fe4-83cac12720a4,274,1,669.59
21e544e0-af17-450d-bbcc-416f015647eb,95,21,413.01
afd8bf15-4b33-4689-a2e6-ffc56c3cfec1,343,37,70.11
8ff59b82-5fc6-40a8-bcbd-e6a24191513a,161,7,267.69
47bce035-fe4e-4931-afc8-158fb0119b17,88,11,210.45
e50e186c-a5cf-4067-bfb7-ca6214fdd4c5,246,26,977.85
e8496b09-7ad1-4be4-8bac-840c3d7274e2,23,42,744.72
9b31533e-4254-4a9b-94d1-654d133c8bcf,152,2,462.52
5603ad55-8cdc-418e-8b78-78c3d61efb52,331,30,82.1
8e877504-ea00-41b3-9c64-4b97c453224b,349,14,133.53
e210e5fa-b6ff-4c32-997c-051c62fe10c7,242,5,816.64
63833594-83f7-491c-81e5-1b54c4f1a630,197,31,946.54
d1b36730-7b71-4870-8af5-f7f1f838ffc2,29,48,50.72
aee95e4b-50c6-41a9-a4f4-8c33b6f22c9a,206,32,912.19
05055d86-434c-45a7-9f70-02373d97a10b,220,34,392.95
83082d9c-8b7e-4728-935e-122b72959196,53,10,229.36
89213eb5-c230-4071-afea-aa61f5e9a5d1,77,31,120.19
9f109914-148b-4427-a166-9e84f21dd218,119,27,776.31
e8b9126c-9105-4ab6-9b5d-b39018193032,280,18,479.53
816510b1-999e-4ce3-8f30-db43978fb2ec,236,5,835.78
2fce05aa-0428-4fc4-831d-6002fd926d3f,260,17,241.63
854cf234-78af-4c6c-a028-84879f6a2743,1,11,685.0
8abfa0c5-f682-4abd-939f-a704288fce47,79,5,135.76
4fe3e67d-9722-4318-96fe-58486d4f7756,358,38,107.96
d5572027-0a1e-4fa0-a171-df8f8c2f3319,190,48,150.73
44047d8f-a266-444f-9023-d0bcda0fb95c,123,37,812.72
a6bdaaad-5b48-40be-ba45-a9b489abce51,181,21,662.51
21906a71-69a5-4b55-bf6e-9bf7ab6157b2,123,24,182.64
62f9b1de-62cd-4267-9eee-2fabae9c49be,16,30,397.08
9f2540fc-5faa-43c0-83cc-e23ce2e8597c,30,16,768.41
3b68eda7-a283-4c45-a20f-f8ab766fdf82,133,49,299.96
672c8c62-1169-490d-ae37-7776f8f3e189,222,41,922.84
7bd2388b-5300-4fd5-bcbd-d9be41124a9a,69,22,916.31
0e9ebb4a-19af-454a-aa07-3784d2354855,291,2,561.84
8858d539-03a8-4bb0-bf97-aff5f2be5a1e,92,19,639.33
da390488-c379-41cc-b937-737410b7a0e9,72,49,660.15
d86484da-4a21-4134-97c6-7d45446c85b5,137,37,273.3
12aa5c9a-c8bc-457d-8779-1102322d9628,23,2,378.01
dad6f74c-ebaa-4124-93b2-96a70efe7e2d,167,11,153.22
120096a7-c7e8-46a3-8629-6f8ca90a9192,257,33,926.37
180fe038-1a20-45c7-9900-d91d9bf4af9b,275,9,729.37
5a2bf688-6669-45f2-b60e-236714b5ea55,288,25,65.43
35a7aa67-fbde-4c19-b71b-3b8cdc2240db,13,6,558.4
7c0ee377-ddcd-4115-8bc3-7bd904faeec0,54,11,356.21
4c5ac88b-a775-42ee-bbd7-34b734a15812,292,27,818.98
845935e9-f444-4394-8be0-814f09d69444,215,8,356.92
033c7b1b-9f47-45f8-8183-5ef9204f27a1,360,45,651.27
f5ce22fc-8fd0-4243-ab83-47ff4904b38a,83,31,182.43
6b585865-1d60-4b57-a13c-babef577cd65,160,27,567.58
00bb2077-3958-4ae1-bb98-a2bd99124c73,305,44,308.01
09b9be1f-0cac-415a-b47a-6891df2534dd,227,41,181.59
b5af8e0e-bd5d-4eb7-bc83-ba1385782c9c,83,47,626.87
e81b0f81-033f-47d4-8d7b-dbd2da65ac25,197,5,645.87
87724b4e-c881-4737-8772-a4e0d73aa7a1,199,15,983.69
06532bc7-981a-43b7-b174-e7c57f129940,334,2,675.72
57757cd7-7d9e-45f4-914a-974d1738b13c,341,15,525.4
6d8a1f2d-170a-4bd0-aeac-681edff4b315,178,31,914.37
8027ebf2-021a-42d1-a4ab-8f13abdcb6f0,188,20,831.72
677bd571-fb69-4dab-b8bd-9155b1687fe4,155,3,557.77
14aea027-23ba-4e8f-87eb-4701b7e357f3,227,42,521.12
be0a7d80-7cbe-4551-aec3-2ec818ece6c3,355,39,943.13
238a0ce0-707e-4917-8c93-8c83e55aae87,171,10,624.78
f33c8727-6f15-4e08-8b50-6c2e6a7c65d7,210,26,719.5
0eac7a0d-6218-41be-b3fb-f50261c8734d,56,10,104.95
67702408-80d0-4da8-a5ad-72510305f212,153,40,723.94
394d9d71-4aba-4681-8200-03a41d037d0d,24,13,279.39
971d934b-f2bc-49ba-88a1-729a833229ad,270,21,133.23
8541bf24-8be6-47c9-bfbd-823b68028d28,201,34,852.67
781939e7-aeee-47c7-996e-14e3c5176eef,358,44,697.37
288bafc0-a365-4714-b243-73950ee06b40,97,32,419.41
43ee2a57-6b12-4e65-ba08-40d06c9241fc,76,9,442.79
325bb45e-6b03-475e-b686-6f5b55820254,359,30,213.18
8d1927e9-e5f4-44ea-aaa4-02b1a48609a7,320,1,29.36
cf3faefb-8a3f-49f6-8e9f-0bf7c5305680,110,12,362.37
280d63ca-4a36-4cd8-bb19-a7b8e13843ee,122,44,165.45
c3f23539-99f4-455b-8cb2-5120093659fb,53,35,433.29
e669b649-1d5a-4a25-85e9-22628d5c7995,205,24,837.15
87158719-d286-401b-954b-8a8daaa4e2dd,166,40,132.46
58b45f44-65ba-4039-8306-c2b0e9b24df8,275,45,109.92
b5d3e90c-5dbd-411c-9cff-3cf70d43502f,88,49,904.06
87b0432f-7417-4749-971f-d33bc624edb4,10,10,750.24
0c655677-70de-4168-a928-6c35327064f7,51,47,72.01
469f972f-8a12-4fc9-ac03-abd526adc6a9,212,24,97.98
040174d7-8e58-4ee2-95e2-1157c8f61260,53,41,691.23
4df79c95-3d7f-497d-9264-45a5761cf4ff,246,18,382.94
6f8a6585-d445-40d5-87dd-4cfd78913ef2,68,8,729.69
5d83fc48-bb7a-48ef-b6b0-be18b17eceea,6,46,416.36
64153026-7c67-4f43-94d9-b45ef12dc66c,139,43,968.43
f30f4c9a-8d7e-4b52-b454-d5e3dd99a135,358,13,700.53
e99c19dc-489d-4818-99e2-ee13a36e754b,223,16,65.68
4975e10e-b7c4-4b9e-bf99-b44c2649843f,68,14,343.89
ae78b840-e23b-44a7-8ca1-e54a140fb98c,346,9,572.33
f40be283-8192-4da3-a4e4-74b57ae7354f,350,9,159.04
4a977cf7-cb3a-4601-b464-e45ffe8ac580,203,5,22.47
8f36ad3b-d2e2-41e6-bfcb-d9a863394d1b,120,47,97.72
518dc9fc-7eaf-4568-9457-7738707e52c0,291,11,533.78
2d345405-b533-40bc-b86b-8a5100615afb,276,19,639.61
0485f458-7202-4fe0-a5ff-6f7df2aa240e,308,38,111.05
89b4ac72-442d-4eee-80e6-6b1b282cba95,253,10,671.85
cb81b272-6e8b-4108-af45-a7eeb4760217,146,16,624.78
837f1d85-cf67-4496-9e5c-523c2fbdafa4,2,29,941.1
933f1758-6a82-40be-925b-4eb43a6a8300,187,5,843.86
031c5465-5e87-4e63-9594-217f8030e56b,336,18,944.38
0f497a0a-c2d4-41e3-96b4-5146829438fa,349,42,966.79
0a8bc1be-a14a-4557-8b49-575133a9f22f,99,42,451.99
e3c945b0-fc46-4469-84a3-371f59bad4ca,156,44,498.15
